id,query,type,difficulty,answered,first_gold_rank,recall@1,precision@1,coverage@1,ndcg@1,recall@3,precision@3,coverage@3,ndcg@3,recall@5,precision@5,coverage@5,ndcg@5,recall@10,precision@10,coverage@10,ndcg@10,mrr,top_score,n_gold
R020,Can I claim if the price drops after I buy?,single,medium,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.01605222734254992,1
R021,How much will I get back for a 64900 laptop I opened and want to return?,multi,hard,True,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.25,0.23463936301137822,1.0,0.4,0.5,0.34620964322385606,1.0,0.2,0.5,0.34620964322385606,0.3333333333333333,0.015522875816993463,4
R022,How long is the warranty on a Pacify laptop?,single,easy,False,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.3333333333333333,0.14285714285714285,0.014356425171866739,1
R023,How long is the warranty on a Northwind laptop?,multi,medium,True,1.0,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.9197207891481876,1.0,0.4,1.0,0.9197207891481876,1.0,0.2,1.0,0.9197207891481876,1.0,0.015349264705882352,2
R024,What is the warranty on accessories?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.01597782258064516,1
R025,How many dead pixels before you replace the screen?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.4,1.0,1.3868528072345416,1.0,0.2,1.0,1.3868528072345416,1.0,0.015625,1
R026,Is my battery covered if it degrades?,single,medium,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016393442622950817,1
R027,Is liquid damage covered?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016393442622950817,1
R028,When does the warranty period start?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.01609079445145019,1
R029,My Northwind laptop is faulty. Who handles the repair?,single,medium,True,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.2,1.0,0.5,1.0,0.1,1.0,0.5,0.3333333333333333,0.01597782258064516,1
R030,How long does a warranty repair take?,single,easy,True,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.38685280723454163,1.0,0.1,1.0,0.38685280723454163,0.2,0.015522875816993463,1
R031,Can I buy extended warranty after 2 months?,single,medium,True,2.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.6309297535714575,1.0,0.2,1.0,0.6309297535714575,1.0,0.1,1.0,0.6309297535714575,0.5,0.016029143897996354,1
R032,Does installing Linux void my warranty?,single,hard,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016129032258064516,1
R033,Can I transfer the warranty if I sell the laptop?,single,medium,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.01609079445145019,1
R034,What is the free shipping threshold?,single,easy,True,2.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.6309297535714575,1.0,0.2,1.0,0.6309297535714575,1.0,0.1,1.0,0.6309297535714575,0.5,0.01631411951348493,1
R035,How long does standard shipping take?,single,easy,True,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.2,1.0,0.5,1.0,0.1,1.0,0.5,0.3333333333333333,0.015905707196029774,1
R036,How long from placing my order to it arriving?,multi,hard,True,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,0.6131471927654584,1.0,0.2,0.5,0.6131471927654584,1.0,0.2,1.0,0.8315546295836225,1.0,0.015349264705882352,2
R037,Can I change my delivery address after dispatch?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016393442622950817,1
R038,Which EU countries do you ship to?,single,easy,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015702087286527514,1
R039,What happens after 3 failed delivery attempts?,single,medium,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016393442622950817,1
R040,Do I get compensation if delivery is late?,single,medium,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.01631411951348493,1
R041,Who pays customs on an EU order?,single,medium,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016129032258064516,1
R042,What is white glove delivery?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016393442622950817,1
R043,What is the minimum order for EMI?,single,easy,True,2.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.6309297535714575,1.0,0.4,1.0,1.0616063116448506,1.0,0.2,1.0,1.0616063116448506,0.5,0.016237314597970336,1
R044,What is the cash on delivery limit?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.6309297535714575,1.0,0.4,1.0,1.6309297535714575,1.0,0.2,1.0,1.6309297535714575,1.0,0.01631411951348493,1
R045,My payment failed but I was charged. When do I get it back?,single,medium,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.43067655807339306,1.0,0.1,1.0,0.43067655807339306,0.25,0.015905707196029774,1
R046,I was charged twice. What happens?,single,medium,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01522144522144522,1
R047,Do you store my card number?,single,medium,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016393442622950817,1
R048,What does PAY-402 mean?,multi,medium,True,1.0,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.9197207891481876,1.0,0.4,1.0,0.9197207891481876,1.0,0.3,1.0,1.0969600759322353,1.0,0.016393442622950817,2
R049,What does PAY-511 mean?,multi,medium,True,1.0,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.9197207891481876,1.0,0.4,1.0,0.9197207891481876,1.0,0.3,1.0,1.0969600759322353,1.0,0.016393442622950817,2
R050,How long is a gift card valid?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.6309297535714575,1.0,0.4,1.0,1.6309297535714575,1.0,0.2,1.0,1.6309297535714575,1.0,0.016393442622950817,1
R051,What are your support hours?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016208355367530406,1
R052,How quickly do you respond to email?,single,easy,True,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.2,1.0,0.5,1.0,0.1,1.0,0.5,0.3333333333333333,0.016237314597970336,1
R053,How do I escalate my issue?,single,medium,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.015887174541947928,1
R054,How long to resolve a complaint?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016393442622950817,1
R055,Who is the grievance officer?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016393442622950817,1
R056,What do you need to verify my identity?,single,medium,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016393442622950817,1
R057,How do I delete my account and my data?,multi,medium,True,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.3065735963827292,1.0,0.2,0.5,0.3065735963827292,1.0,0.2,1.0,0.5,0.3333333333333333,0.016393442622950817,2
R058,Am I talking to a bot?,single,medium,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010287878787878787,1
R059,Can the AI approve my refund?,single,hard,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01631411951348493,1
R060,What does ERR-DP-0x004 mean?,multi,medium,True,2.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.38685280723454163,1.0,0.4,1.0,0.6509209298071326,1.0,0.2,1.0,0.6509209298071326,0.5,0.01564516129032258,2
R061,My monitor keeps going black randomly.,single,hard,True,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.5,1.0,0.4,1.0,1.5,1.0,0.2,1.0,1.5,1.0,0.01590163934426229,1
R062,What does BAT-119 mean?,single,easy,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.43067655807339306,1.0,0.1,1.0,0.43067655807339306,0.25,0.016129032258064516,1
R063,What does WIFI-503 mean?,single,easy,True,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.2,1.0,0.5,1.0,0.1,1.0,0.5,0.3333333333333333,0.01597782258064516,1
R064,What does SYS-0x0000007B mean?,single,medium,False,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.2890648263178879,0.1,0.016237314597970336,1
R065,My laptop will not turn on. What should I do?,single,easy,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014878819810326658,1
R066,How do I factory reset my laptop?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.01564516129032258,1
R067,When should I stop troubleshooting and claim warranty?,single,medium,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.2,1.0,1.3154648767857289,1.0,0.01590163934426229,1
R068,My laptop is overheating.,single,medium,True,2.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.6309297535714575,1.0,0.2,1.0,0.6309297535714575,1.0,0.1,1.0,0.6309297535714575,0.5,0.01553113553113553,1
R069,How do I check my battery health?,multi,medium,True,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,0.6131471927654584,1.0,0.4,1.0,0.8503449055347546,1.0,0.2,1.0,0.8503449055347546,1.0,0.015548269581056463,2
R070,How many USB ports does the ProBook 16 have?,single,medium,True,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.38685280723454163,1.0,0.1,1.0,0.38685280723454163,0.2,0.01590163934426229,1
R071,What resolution is the Vision 27?,multi,easy,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.5,0.2640681225725909,1.0,0.2,1.0,0.45749452618986164,0.25,0.015573770491803276,2
R072,Does the Phone X have wireless charging?,multi,medium,True,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,0.6131471927654584,1.0,0.2,0.5,0.6131471927654584,1.0,0.2,1.0,0.8315546295836225,1.0,0.015573770491803276,2
R073,What is the difference between the ProBook 14 and 16?,single,medium,False,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.3010299956639812,0.1111111111111111,0.015425448868071819,1
R074,How much does the ProBook 14 weigh?,multi,easy,False,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.5,0.18457569677956817,0.1111111111111111,0.015178931451612901,2
R075,Is the Phone X waterproof?,multi,hard,False,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.5,0.20438239758848611,0.14285714285714285,0.015425448868071819,2
R076,Can I upgrade RAM on the ProBook 14?,multi,medium,True,2.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.38685280723454163,1.0,0.2,0.5,0.38685280723454163,1.0,0.2,1.0,0.5912352048230277,0.5,0.015249615975422424,2
R077,What refresh rate does the Vision 27 support?,multi,easy,True,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.3065735963827292,1.0,0.2,0.5,0.3065735963827292,1.0,0.2,1.0,0.5,0.3333333333333333,0.015573770491803276,2
R078,I am in Germany. How long do I have to return an opened laptop?,multi,hard,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.5,0.2640681225725909,1.0,0.1,0.5,0.2640681225725909,0.25,0.015638148667601683,2
R079,As an EU customer do I pay a restocking fee?,single,hard,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.43067655807339306,1.0,0.1,1.0,0.43067655807339306,0.25,0.016393442622950817,1
R080,Do I have to give a reason for returning in the EU?,single,medium,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016393442622950817,1
R081,How quickly must you reimburse an EU customer?,single,medium,True,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.38685280723454163,1.0,0.1,1.0,0.38685280723454163,0.2,0.015949820788530467,1
R082,What is the EU statutory guarantee period?,single,medium,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016393442622950817,1
R083,How long do I have to return my laptop?,contradiction,hard,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015117056856187291,2
R084,Is there a 30 day satisfaction guarantee?,contradiction,hard,True,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,0.6131471927654584,1.0,0.2,0.5,0.6131471927654584,1.0,0.3,1.0,1.0087939163676702,1.0,0.016208355367530406,2
R085,What is your return policy?,version,hard,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.43067655807339306,1.0,0.1,1.0,0.43067655807339306,0.25,0.01609079445145019,1
R086,Do you charge a restocking fee?,version,hard,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.015949820788530467,1
R087,What is the difference between an exchange and a replacement?,multi,hard,True,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.3065735963827294,1.0,0.6,1.0,1.3065735963827294,1.0,0.3,1.0,1.3065735963827294,1.0,0.016393442622950817,2
R088,My item is damaged. What do I do?,multi,hard,True,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,0.6131471927654584,1.0,0.2,0.5,0.6131471927654584,1.0,0.1,0.5,0.6131471927654584,1.0,0.01631411951348493,2
R089,When will my money be processed?,ambiguous,hard,True,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.5,0.23719771276929622,1.0,0.1,0.5,0.23719771276929622,0.2,0.01631411951348493,2
R090,When will I get my money back?,ambiguous,hard,False,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.5,0.18457569677956817,0.1111111111111111,0.015702087286527514,2
R091,I opened the box only to check for damage. Does that count as opened?,ambiguous,hard,True,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.46927872602275644,1.0,0.4,0.6666666666666666,0.6713860725233041,1.0,0.3,1.0,0.812653045383133,1.0,0.016393442622950817,3
R092,My laptop broke on day 8. Return or warranty?,ambiguous,hard,True,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.5,0.23719771276929622,1.0,0.1,0.5,0.23719771276929622,0.2,0.015625,2
R093,how long do i have to send back my laptop,duplicate,medium,True,2.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.5,0.6934264036172708,1.0,0.4,0.5,0.6934264036172708,1.0,0.3,0.5,0.878002100396839,0.5,0.015456730769230768,2
R094,whats the warranty length,duplicate,medium,True,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.5,0.2640681225725909,1.0,0.1,0.5,0.2640681225725909,0.25,0.01553113553113553,2
R095,when do i get my refund,duplicate,medium,True,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.5,0.23719771276929622,1.0,0.2,1.0,0.41443699955334395,0.2,0.015529463890119628,2
R096,is delivery free,duplicate,easy,True,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,0.6131471927654584,1.0,0.2,0.5,0.6131471927654584,1.0,0.2,1.0,0.8315546295836225,1.0,0.016393442622950817,2
R097,how many dead pixels,duplicate,medium,True,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,0.6131471927654584,1.0,0.4,1.0,0.8503449055347546,1.0,0.2,1.0,0.8503449055347546,1.0,0.016129032258064516,2
R098,ERR-DP-0x011,lexical,hard,True,2.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.6934264036172708,1.0,0.6,1.0,0.9574945261898617,1.0,0.3,1.0,0.9574945261898617,0.5,0.01564516129032258,2
R099,THRM-88,lexical,hard,True,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.2,1.0,0.5,1.0,0.1,1.0,0.5,0.3333333333333333,0.01564516129032258,1
R100,POL-WAR-001 S6,lexical,hard,False,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015776209677419356,1
R101,KEY-018,lexical,hard,True,2.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.6309297535714575,1.0,0.2,1.0,0.6309297535714575,1.0,0.1,1.0,0.6309297535714575,0.5,0.01590163934426229,1
R102,STO-440,lexical,hard,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.015722104706504494,1
R103,PAY-604,lexical,hard,True,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.3065735963827294,1.0,0.8,1.0,1.5437713091520255,1.0,0.4,1.0,1.5437713091520255,1.0,0.016393442622950817,2
R104,DSP-014,lexical,hard,True,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.5,0.6131471927654584,1.0,0.4,1.0,0.8772153153380493,1.0,0.2,1.0,0.8772153153380493,1.0,0.015949820788530467,2
R105,AUD-330,lexical,hard,True,2.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.6309297535714575,1.0,0.2,1.0,0.6309297535714575,1.0,0.1,1.0,0.6309297535714575,0.5,0.01590163934426229,1
R106,Do you deliver on Sundays?,multi,easy,True,2.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.38685280723454163,1.0,0.4,1.0,0.6509209298071326,1.0,0.2,1.0,0.6509209298071326,0.5,0.016129032258064516,2
R107,What is PacifyCare+?,single,easy,True,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.6309297535714575,1.0,0.4,1.0,1.6309297535714575,1.0,0.2,1.0,1.6309297535714575,1.0,0.01631411951348493,1
R108,Can I return a redeemed gift card?,multi,medium,True,1.0,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,0.5,0.9197207891481876,1.0,0.4,0.5,0.9197207891481876,1.0,0.3,1.0,1.1381282259663517,1.0,0.016393442622950817,2
R109,Do I need the original box to return?,single,easy,True,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.38685280723454163,1.0,0.1,1.0,0.38685280723454163,0.2,0.01553113553113553,1
R110,What if I keep the free gift from a bundle?,single,hard,True,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.016208355367530406,1
R111,Can I get a loaner during repair?,single,medium,True,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,1.0,0.38685280723454163,1.0,0.1,1.0,0.38685280723454163,0.2,0.016237314597970336,1
R112,What is the inspection fee if my claim is rejected?,single,hard,True,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.5,1.0,0.4,1.0,0.9306765580733931,1.0,0.2,1.0,0.9306765580733931,0.3333333333333333,0.016020864381520117,1
R113,Is image retention on OLED covered?,multi,hard,True,1.0,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.9197207891481876,1.0,0.6,1.0,1.1837889117207785,1.0,0.3,1.0,1.1837889117207785,1.0,0.016208355367530406,2
R114,Which cable do I need for 75Hz on the Vision 27?,single,medium,False,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.3010299956639812,0.1111111111111111,0.015573770491803276,1
R115,Will the Vision 27 charge my ProBook 16?,multi,hard,True,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.3065735963827292,1.0,0.2,0.5,0.3065735963827292,1.0,0.1,0.5,0.3065735963827292,0.3333333333333333,0.015079365079365078,2
