ticket_id,created_at,intent,subtopic,sentiment,priority,resolved_by,status,confidence,latency_seconds,tokens_used,region,channel,feedback
TKT-40063,2026-02-20 14:03:00,order_tracking,delayed shipment,negative,high,ai,resolved,0.99,2.1,905,IN,chat,up
TKT-40045,2026-02-20 14:07:00,return_refund_request,refund amount query,neutral,medium,ai,resolved,0.878,1.42,2607,IN,chat,
TKT-40027,2026-02-20 14:26:00,order_tracking,delivery attempt failed,neutral,low,ai,open,0.783,1.02,3379,IN,chat,
TKT-40000,2026-02-20 14:32:00,return_refund_request,exchange request,negative,medium,human,resolved,0.388,2.38,4192,IN,chat,up
TKT-40064,2026-02-20 14:47:00,technical_support,will not power on,neutral,medium,ai,resolved,0.677,0.76,2143,EU,chat,
TKT-40035,2026-02-20 14:48:00,order_tracking,marked delivered not received,positive,low,human,resolved,0.54,2.67,2646,IN,email,up
TKT-40069,2026-02-20 15:05:00,order_tracking,delivery attempt failed,neutral,low,ai,resolved,0.841,1.7,1408,EU,chat,
TKT-40002,2026-02-20 15:12:00,shipping_delivery,shipping cost,negative,high,ai,resolved,0.796,0.89,2947,IN,phone,
TKT-40037,2026-02-20 15:21:00,account_management,password reset,neutral,medium,ai,resolved,0.718,1.73,1376,IN,email,
TKT-40001,2026-02-20 15:25:00,product_information,stock availability,neutral,medium,ai,resolved,0.775,2.31,3421,IN,chat,
TKT-40014,2026-02-20 15:38:00,product_information,model comparison,neutral,high,ai,resolved,0.847,1.8,1373,IN,email,
TKT-40030,2026-02-20 15:54:00,return_policy_question,bulk order returns,neutral,high,ai,resolved,0.813,1.22,1709,IN,email,
TKT-40052,2026-02-20 15:57:00,payment_issue,invoice request,neutral,medium,ai,resolved,0.706,2.63,2694,IN,chat,
TKT-40019,2026-02-20 16:17:00,warranty_claim,third party brand routing,neutral,low,human,resolved,0.408,1.56,4142,IN,chat,
TKT-40043,2026-02-20 16:26:00,order_tracking,delivery attempt failed,negative,low,ai,open,0.681,1.61,2190,EU,chat,
TKT-40020,2026-02-20 16:28:00,return_policy_question,opened item eligibility,positive,high,ai,resolved,0.93,2.08,3521,IN,chat,up
TKT-40026,2026-02-20 16:33:00,product_information,model comparison,positive,medium,ai,open,0.793,0.51,1950,IN,chat,down
TKT-40016,2026-02-20 16:33:00,payment_issue,emi query,negative,medium,ai,resolved,0.99,2.13,3603,IN,chat,
TKT-40041,2026-02-20 16:35:00,warranty_claim,keyboard failure,neutral,high,ai,resolved,0.684,0.91,1084,IN,chat,
TKT-40058,2026-02-20 16:43:00,payment_issue,invoice request,neutral,low,ai,open,0.902,1.77,2640,IN,chat,up
TKT-40049,2026-02-20 16:49:00,order_tracking,tracking not updating,positive,low,ai,resolved,0.669,1.66,3961,IN,email,
TKT-40007,2026-02-20 16:53:00,order_tracking,delayed shipment,neutral,medium,ai,resolved,0.872,1.54,1269,IN,chat,
TKT-40015,2026-02-20 17:01:00,return_refund_request,damaged on arrival,negative,high,ai,resolved,0.876,1.52,991,IN,email,
TKT-40012,2026-02-20 17:02:00,order_tracking,where is my order,positive,medium,ai,resolved,0.847,2.3,2875,EU,chat,
TKT-40038,2026-02-20 17:04:00,technical_support,will not power on,negative,high,ai,open,0.707,1.72,1313,EU,chat,up
TKT-40034,2026-02-20 17:39:00,warranty_claim,dead pixels,neutral,low,ai,resolved,0.803,0.95,1500,IN,phone,
TKT-40013,2026-02-20 17:50:00,technical_support,driver problem,negative,high,human,resolved,0.431,2.72,1247,IN,email,
TKT-40066,2026-02-20 17:50:00,order_tracking,delivery attempt failed,neutral,medium,ai,resolved,0.641,1.95,950,IN,chat,
TKT-40008,2026-02-20 18:11:00,account_management,data export,neutral,low,human,resolved,0.373,1.68,1835,IN,phone,up
TKT-40023,2026-02-20 18:51:00,return_policy_question,restocking fee,negative,high,ai,open,0.647,1.1,1773,EU,chat,
TKT-40054,2026-02-20 18:51:00,order_tracking,delayed shipment,positive,medium,ai,open,0.843,2.2,3128,IN,email,up
TKT-40057,2026-02-20 18:53:00,warranty_claim,repair turnaround,negative,low,human,resolved,0.543,2.76,3117,IN,chat,
TKT-40067,2026-02-20 19:09:00,warranty_claim,repair turnaround,negative,medium,human,resolved,0.592,1.93,3110,IN,email,up
TKT-40048,2026-02-20 19:10:00,return_policy_question,return shipping cost,neutral,low,ai,resolved,0.758,0.93,2428,IN,email,
TKT-40060,2026-02-20 19:25:00,product_information,extended warranty options,neutral,high,ai,resolved,0.99,1.99,2176,IN,chat,
TKT-40062,2026-02-20 19:28:00,payment_issue,double charge,negative,medium,human,resolved,0.248,2.42,3382,IN,phone,
TKT-40068,2026-02-20 19:36:00,return_policy_question,return shipping cost,neutral,low,ai,resolved,0.858,0.9,2730,IN,email,
TKT-40051,2026-02-20 19:38:00,warranty_claim,repair turnaround,positive,low,ai,resolved,0.879,1.97,3869,IN,email,down
TKT-40099,2026-02-21 09:20:00,technical_support,audio fault,negative,medium,human,resolved,0.33,2.51,2462,IN,chat,
TKT-40105,2026-02-21 09:31:00,return_refund_request,wrong item received,positive,high,human,resolved,0.363,2.44,3845,IN,chat,
TKT-40100,2026-02-21 10:13:00,product_information,stock availability,positive,medium,ai,resolved,0.956,1.4,3128,IN,chat,
TKT-40081,2026-02-21 10:34:00,payment_issue,double charge,neutral,medium,human,resolved,0.389,1.42,2112,IN,chat,
TKT-40073,2026-02-21 10:55:00,product_information,compatibility,neutral,high,ai,resolved,0.94,1.24,1408,EU,chat,
TKT-40082,2026-02-21 11:19:00,product_information,model comparison,positive,low,ai,resolved,0.878,2.65,2160,EU,chat,up
TKT-40087,2026-02-21 11:48:00,product_information,extended warranty options,neutral,low,ai,resolved,0.902,1.72,3907,IN,email,
TKT-40083,2026-02-21 11:53:00,return_policy_question,restocking fee,negative,high,human,resolved,0.228,3.05,965,IN,chat,up
TKT-40093,2026-02-21 12:13:00,technical_support,driver problem,positive,medium,ai,resolved,0.483,1.24,1425,IN,email,
TKT-40071,2026-02-21 12:28:00,product_information,model comparison,positive,medium,ai,resolved,0.904,1.98,2986,IN,chat,
TKT-40086,2026-02-21 12:40:00,return_policy_question,return shipping cost,negative,high,ai,resolved,0.684,1.32,1212,EU,chat,
TKT-40085,2026-02-21 12:46:00,warranty_claim,screen fault,neutral,low,human,resolved,0.666,2.19,4137,IN,chat,up
TKT-40091,2026-02-21 12:51:00,product_information,extended warranty options,neutral,medium,ai,resolved,0.833,1.84,1629,IN,email,up
TKT-40084,2026-02-21 12:52:00,account_management,password reset,negative,medium,human,open,0.737,1.52,2621,IN,chat,up
TKT-40103,2026-02-21 13:03:00,shipping_delivery,international shipping,positive,medium,ai,resolved,0.84,0.45,2065,EU,chat,
TKT-40095,2026-02-21 13:05:00,return_policy_question,bulk order returns,positive,low,ai,resolved,0.765,2.03,2280,IN,phone,
TKT-40101,2026-02-21 13:08:00,payment_issue,payment failed amount debited,negative,medium,human,resolved,0.644,1.04,1825,IN,chat,up
TKT-40070,2026-02-21 13:21:00,shipping_delivery,international shipping,neutral,medium,ai,resolved,0.727,2.21,3877,IN,chat,
TKT-40077,2026-02-21 13:31:00,technical_support,boot failure,negative,high,human,resolved,0.367,1.46,2585,EU,email,
TKT-40075,2026-02-21 13:50:00,shipping_delivery,delivery timeline,negative,medium,ai,resolved,0.793,2.78,3596,IN,chat,
TKT-40094,2026-02-21 14:05:00,complaint,slow response,positive,high,human,resolved,0.533,1.64,2638,IN,phone,
TKT-40076,2026-02-21 14:09:00,warranty_claim,dead pixels,positive,low,ai,resolved,0.808,1.35,2561,IN,phone,up
TKT-40072,2026-02-21 14:09:00,payment_issue,double charge,negative,medium,human,resolved,0.418,1.68,3013,IN,email,up
TKT-40089,2026-02-21 14:38:00,shipping_delivery,international shipping,negative,medium,human,resolved,0.377,2.18,3390,IN,email,
TKT-40098,2026-02-21 14:47:00,return_policy_question,restocking fee,negative,medium,ai,resolved,0.959,1.56,3560,IN,phone,down
TKT-40079,2026-02-21 15:04:00,shipping_delivery,white glove scheduling,neutral,high,ai,open,0.99,1.63,1892,IN,chat,
TKT-40090,2026-02-21 15:31:00,return_policy_question,return window,neutral,medium,ai,resolved,0.914,1.58,3827,IN,chat,up
TKT-40097,2026-02-21 15:48:00,warranty_claim,repair turnaround,neutral,low,ai,resolved,0.962,1.4,3466,IN,chat,up
TKT-40106,2026-02-21 16:24:00,return_policy_question,return window,neutral,medium,ai,open,0.589,0.67,2385,IN,email,
TKT-40092,2026-02-21 17:49:00,return_refund_request,exchange request,negative,low,human,resolved,0.646,2.01,1262,IN,email,
TKT-40104,2026-02-21 17:58:00,return_refund_request,wrong item received,negative,high,human,resolved,0.498,1.75,3286,IN,chat,
TKT-40088,2026-02-21 18:03:00,payment_issue,refund not received,negative,medium,ai,resolved,0.981,1.87,3541,IN,chat,
TKT-40107,2026-02-21 18:56:00,return_refund_request,change of mind return,neutral,medium,ai,resolved,0.934,0.4,2476,IN,chat,
TKT-40080,2026-02-21 18:58:00,product_information,extended warranty options,neutral,low,human,resolved,0.178,1.93,2410,IN,email,
TKT-40096,2026-02-21 19:11:00,product_information,compatibility,neutral,low,human,resolved,0.493,1.42,1773,IN,chat,
TKT-40078,2026-02-21 19:33:00,return_refund_request,change of mind return,neutral,low,human,resolved,0.609,1.69,2621,IN,phone,
TKT-40102,2026-02-21 20:19:00,shipping_delivery,white glove scheduling,neutral,medium,ai,resolved,0.776,1.5,1785,EU,email,up
TKT-40074,2026-02-21 20:52:00,product_information,model comparison,positive,medium,human,resolved,0.528,1.9,915,IN,chat,up
TKT-40120,2026-02-22 09:35:00,product_information,stock availability,neutral,low,ai,resolved,0.976,1.38,942,IN,chat,up
TKT-40118,2026-02-22 10:11:00,order_tracking,delayed shipment,negative,high,ai,resolved,0.886,1.46,4131,IN,chat,
TKT-40111,2026-02-22 10:45:00,order_tracking,delivery attempt failed,positive,low,ai,resolved,0.99,1.24,2998,IN,chat,down
TKT-40115,2026-02-22 12:01:00,technical_support,audio fault,negative,low,ai,resolved,0.581,2.09,1601,IN,email,up
TKT-40108,2026-02-22 12:14:00,order_tracking,delivery attempt failed,neutral,low,ai,resolved,0.826,1.6,3127,IN,email,up
TKT-40110,2026-02-22 12:26:00,return_refund_request,refund amount query,negative,medium,human,resolved,0.687,1.84,3087,IN,chat,
TKT-40117,2026-02-22 12:36:00,return_refund_request,wrong item received,neutral,low,human,resolved,0.614,2.71,2022,IN,chat,up
TKT-40112,2026-02-22 12:40:00,return_refund_request,damaged on arrival,negative,medium,human,resolved,0.682,2.09,2238,IN,email,
TKT-40114,2026-02-22 13:40:00,complaint,unresolved issue,negative,low,human,resolved,0.341,1.75,3682,IN,chat,up
TKT-40122,2026-02-22 13:42:00,product_information,compatibility,positive,low,ai,resolved,0.99,1.34,3467,EU,chat,up
TKT-40121,2026-02-22 14:42:00,payment_issue,emi query,negative,medium,ai,resolved,0.414,1.76,1313,IN,phone,up
TKT-40116,2026-02-22 15:43:00,technical_support,display issue,neutral,low,ai,resolved,0.655,1.38,4177,IN,email,
TKT-40109,2026-02-22 17:16:00,warranty_claim,repair turnaround,negative,medium,human,resolved,0.7,1.27,2183,IN,chat,up
TKT-40123,2026-02-22 17:34:00,return_refund_request,change of mind return,negative,low,ai,resolved,0.91,1.49,2323,IN,chat,
TKT-40119,2026-02-22 18:16:00,product_information,compatibility,positive,medium,ai,open,0.99,1.4,1922,IN,email,
TKT-40124,2026-02-22 18:48:00,order_tracking,where is my order,positive,medium,human,resolved,0.737,2.51,2214,EU,chat,
TKT-40113,2026-02-22 18:51:00,return_refund_request,wrong item received,negative,medium,human,resolved,0.539,2.35,3444,IN,chat,
TKT-40179,2026-02-23 09:21:00,account_management,email change,neutral,low,ai,resolved,0.831,2.02,1070,IN,chat,
TKT-40172,2026-02-23 09:35:00,shipping_delivery,shipping cost,neutral,high,ai,open,0.811,2.08,2360,IN,chat,
TKT-40194,2026-02-23 10:03:00,return_policy_question,restocking fee,neutral,high,ai,resolved,0.847,1.38,2844,IN,chat,up
TKT-40129,2026-02-23 10:07:00,order_tracking,where is my order,negative,low,human,resolved,0.3,2.35,1971,IN,chat,down
TKT-40183,2026-02-23 10:09:00,order_tracking,where is my order,neutral,low,ai,resolved,0.799,2.0,2713,IN,email,
TKT-40135,2026-02-23 10:32:00,return_policy_question,return window,positive,low,ai,resolved,0.722,1.49,3272,IN,email,
TKT-40157,2026-02-23 10:52:00,technical_support,boot failure,neutral,high,ai,resolved,0.924,1.59,1773,IN,chat,
TKT-40133,2026-02-23 11:13:00,warranty_claim,third party brand routing,negative,medium,human,resolved,0.526,2.25,3741,IN,phone,
TKT-40125,2026-02-23 11:17:00,return_policy_question,restocking fee,neutral,medium,ai,resolved,0.879,2.05,2219,IN,email,
TKT-40177,2026-02-23 11:21:00,complaint,delivery experience,negative,medium,human,resolved,0.41,1.89,2880,IN,chat,up
TKT-40174,2026-02-23 11:31:00,return_refund_request,damaged on arrival,neutral,high,ai,resolved,0.74,2.72,2300,IN,phone,up
TKT-40187,2026-02-23 11:44:00,complaint,delivery experience,negative,high,human,resolved,0.352,2.18,3800,IN,chat,
TKT-40148,2026-02-23 11:47:00,return_refund_request,refund amount query,neutral,medium,human,resolved,0.422,0.98,2429,IN,chat,up
TKT-40149,2026-02-23 11:48:00,account_management,login failure,neutral,medium,human,resolved,0.395,1.58,2938,IN,chat,up
TKT-40147,2026-02-23 12:07:00,warranty_claim,dead pixels,neutral,medium,human,resolved,0.542,3.37,1152,IN,chat,up
TKT-40154,2026-02-23 12:08:00,order_tracking,delivery attempt failed,negative,medium,ai,resolved,0.759,1.74,2022,EU,chat,
TKT-40161,2026-02-23 12:18:00,return_policy_question,return shipping cost,positive,low,ai,resolved,0.497,1.92,1523,IN,chat,
TKT-40138,2026-02-23 12:23:00,order_tracking,tracking not updating,negative,high,ai,resolved,0.855,2.26,3756,IN,email,up
TKT-40126,2026-02-23 12:28:00,payment_issue,invoice request,neutral,high,human,resolved,0.305,2.71,2967,IN,email,
TKT-40188,2026-02-23 12:31:00,return_refund_request,wrong item received,negative,low,ai,resolved,0.695,1.23,2474,IN,phone,up
TKT-40176,2026-02-23 12:33:00,order_tracking,marked delivered not received,neutral,low,ai,resolved,0.775,0.97,4022,IN,chat,
TKT-40145,2026-02-23 12:34:00,product_information,compatibility,positive,low,ai,resolved,0.607,1.0,1088,IN,chat,
TKT-40164,2026-02-23 12:55:00,product_information,specifications,positive,low,human,resolved,0.724,3.18,3622,IN,phone,
TKT-40143,2026-02-23 13:03:00,return_policy_question,bulk order returns,neutral,low,ai,resolved,0.808,2.27,1597,IN,email,
TKT-40173,2026-02-23 13:18:00,technical_support,driver problem,neutral,high,human,resolved,0.332,0.55,1179,IN,chat,
TKT-40189,2026-02-23 13:29:00,shipping_delivery,address change,positive,medium,ai,open,0.909,1.55,3553,IN,phone,
TKT-40127,2026-02-23 13:34:00,product_information,extended warranty options,neutral,medium,ai,resolved,0.746,1.06,1031,IN,chat,
TKT-40184,2026-02-23 13:35:00,return_policy_question,restocking fee,negative,medium,ai,resolved,0.839,1.78,2875,IN,chat,up
TKT-40137,2026-02-23 13:37:00,order_tracking,tracking not updating,neutral,low,ai,resolved,0.755,1.9,2622,IN,chat,
TKT-40152,2026-02-23 13:43:00,product_information,stock availability,positive,medium,ai,resolved,0.6,0.82,1207,IN,chat,
TKT-40165,2026-02-23 13:43:00,complaint,delivery experience,negative,medium,human,resolved,0.617,2.44,2350,IN,chat,
TKT-40192,2026-02-23 14:05:00,return_refund_request,refund amount query,neutral,medium,ai,resolved,0.923,1.98,3708,IN,phone,
TKT-40193,2026-02-23 14:12:00,return_policy_question,restocking fee,neutral,low,human,open,0.835,2.96,3419,IN,chat,
TKT-40186,2026-02-23 14:21:00,return_policy_question,return shipping cost,negative,high,ai,resolved,0.857,0.89,3666,IN,email,up
TKT-40155,2026-02-23 14:30:00,product_information,extended warranty options,neutral,low,ai,resolved,0.962,2.25,1582,IN,email,
TKT-40130,2026-02-23 14:41:00,return_policy_question,return shipping cost,positive,high,ai,resolved,0.887,1.62,2704,IN,chat,
TKT-40139,2026-02-23 14:41:00,order_tracking,delivery attempt failed,neutral,low,ai,resolved,0.591,0.55,985,IN,chat,up
TKT-40182,2026-02-23 14:59:00,shipping_delivery,shipping cost,neutral,medium,ai,resolved,0.627,1.83,3708,IN,email,
TKT-40180,2026-02-23 15:26:00,return_policy_question,opened item eligibility,neutral,high,ai,resolved,0.9,1.0,1950,IN,email,
TKT-40156,2026-02-23 15:29:00,warranty_claim,repair turnaround,negative,high,human,resolved,0.604,1.52,2868,IN,chat,up
TKT-40158,2026-02-23 16:43:00,return_refund_request,wrong item received,neutral,medium,ai,resolved,0.99,1.26,1043,IN,chat,
TKT-40141,2026-02-23 16:46:00,technical_support,driver problem,negative,low,human,resolved,0.508,0.67,2674,IN,email,
TKT-40134,2026-02-23 16:47:00,return_refund_request,refund amount query,neutral,low,human,resolved,0.183,1.81,4053,IN,chat,
TKT-40167,2026-02-23 16:50:00,order_tracking,marked delivered not received,neutral,low,ai,resolved,0.705,0.96,3409,IN,chat,
TKT-40144,2026-02-23 16:55:00,order_tracking,delayed shipment,neutral,low,ai,resolved,0.751,1.54,943,IN,email,up
TKT-40153,2026-02-23 17:04:00,return_refund_request,exchange request,neutral,medium,ai,resolved,0.519,2.24,2357,IN,email,
TKT-40159,2026-02-23 17:13:00,technical_support,audio fault,negative,low,ai,resolved,0.796,2.59,3921,IN,email,
TKT-40160,2026-02-23 17:18:00,shipping_delivery,shipping cost,neutral,low,human,resolved,0.294,1.07,1984,IN,chat,up
TKT-40128,2026-02-23 17:20:00,order_tracking,delivery attempt failed,neutral,low,human,open,0.606,2.4,3159,IN,email,up
TKT-40178,2026-02-23 17:25:00,account_management,password reset,negative,medium,ai,resolved,0.789,1.21,1086,EU,chat,
TKT-40136,2026-02-23 17:38:00,return_refund_request,refund amount query,negative,medium,human,resolved,0.657,2.29,2403,IN,chat,
TKT-40175,2026-02-23 17:42:00,order_tracking,tracking not updating,neutral,low,ai,resolved,0.859,1.14,1392,EU,email,
TKT-40163,2026-02-23 17:56:00,return_policy_question,bulk order returns,neutral,high,ai,resolved,0.99,1.74,1351,IN,phone,up
TKT-40146,2026-02-23 18:08:00,return_policy_question,return shipping cost,neutral,medium,ai,resolved,0.752,1.06,1297,IN,chat,up
TKT-40171,2026-02-23 18:11:00,return_policy_question,opened item eligibility,neutral,medium,ai,resolved,0.868,1.53,2987,IN,chat,up
TKT-40131,2026-02-23 18:11:00,complaint,unresolved issue,neutral,medium,human,resolved,0.483,2.25,2316,IN,chat,
TKT-40150,2026-02-23 18:25:00,return_policy_question,return window,neutral,low,ai,resolved,0.918,2.15,1298,IN,chat,up
TKT-40169,2026-02-23 18:26:00,order_tracking,where is my order,negative,high,human,resolved,0.539,1.81,2505,IN,chat,
TKT-40191,2026-02-23 19:23:00,technical_support,audio fault,neutral,low,ai,resolved,0.945,1.62,1186,IN,phone,
TKT-40170,2026-02-23 19:26:00,product_information,compatibility,neutral,low,ai,resolved,0.891,1.73,1938,IN,chat,
TKT-40140,2026-02-23 19:33:00,out_of_scope,general chat,neutral,medium,ai,resolved,0.814,1.94,2415,IN,chat,
TKT-40181,2026-02-23 19:48:00,shipping_delivery,white glove scheduling,neutral,medium,ai,resolved,0.99,1.98,1863,EU,chat,up
TKT-40162,2026-02-23 19:49:00,technical_support,audio fault,neutral,medium,ai,resolved,0.728,1.32,2649,IN,email,down
TKT-40132,2026-02-23 20:13:00,shipping_delivery,delivery timeline,negative,medium,ai,open,0.795,1.17,3880,IN,email,
TKT-40168,2026-02-23 20:26:00,order_tracking,marked delivered not received,neutral,medium,ai,resolved,0.873,2.52,3719,IN,email,up
TKT-40151,2026-02-23 20:31:00,order_tracking,delayed shipment,neutral,high,ai,resolved,0.878,2.27,3161,IN,phone,
TKT-40166,2026-02-23 20:35:00,order_tracking,tracking not updating,neutral,low,ai,resolved,0.979,2.51,1948,IN,chat,
TKT-40190,2026-02-23 20:49:00,return_policy_question,bulk order returns,negative,high,ai,resolved,0.843,1.83,1790,IN,email,up
TKT-40142,2026-02-23 20:49:00,order_tracking,marked delivered not received,neutral,low,ai,resolved,0.705,1.7,2977,IN,chat,
TKT-40185,2026-02-23 20:58:00,return_policy_question,opened item eligibility,neutral,medium,ai,resolved,0.896,1.86,3887,IN,email,down
TKT-40204,2026-02-24 09:00:00,order_tracking,tracking not updating,neutral,medium,ai,resolved,0.99,1.36,3727,IN,chat,
TKT-40223,2026-02-24 09:12:00,technical_support,boot failure,positive,medium,human,resolved,0.527,1.73,2685,IN,chat,
TKT-40231,2026-02-24 09:21:00,return_refund_request,change of mind return,positive,low,ai,resolved,0.698,1.25,2976,IN,chat,
TKT-40210,2026-02-24 09:44:00,warranty_claim,repair turnaround,positive,low,ai,resolved,0.703,1.12,1079,IN,email,up
TKT-40258,2026-02-24 09:48:00,return_refund_request,change of mind return,neutral,low,ai,resolved,0.731,1.63,4138,IN,chat,
TKT-40256,2026-02-24 09:49:00,product_information,model comparison,neutral,high,human,resolved,0.572,1.57,3706,IN,chat,
TKT-40226,2026-02-24 09:51:00,order_tracking,marked delivered not received,neutral,medium,human,resolved,0.476,2.05,4130,IN,email,up
TKT-40198,2026-02-24 09:55:00,return_policy_question,return shipping cost,neutral,medium,ai,resolved,0.99,1.32,2764,IN,email,
TKT-40224,2026-02-24 09:56:00,order_tracking,where is my order,neutral,low,ai,resolved,0.757,1.43,3821,EU,email,
TKT-40240,2026-02-24 09:59:00,return_policy_question,return window,neutral,low,ai,resolved,0.886,2.35,2639,IN,chat,
TKT-40228,2026-02-24 10:07:00,return_refund_request,exchange request,negative,high,human,open,0.18,2.02,2383,IN,chat,
TKT-40244,2026-02-24 10:14:00,warranty_claim,battery health,neutral,medium,ai,resolved,0.79,2.27,1426,IN,email,
TKT-40199,2026-02-24 10:14:00,warranty_claim,repair turnaround,negative,high,human,resolved,0.675,1.78,3349,IN,chat,
TKT-40259,2026-02-24 10:16:00,order_tracking,marked delivered not received,neutral,low,ai,resolved,0.799,1.77,2120,IN,email,down
TKT-40196,2026-02-24 10:25:00,order_tracking,delayed shipment,neutral,medium,ai,resolved,0.627,1.51,1751,IN,chat,
TKT-40249,2026-02-24 10:39:00,product_information,specifications,neutral,low,ai,resolved,0.688,2.49,3252,IN,chat,up
TKT-40227,2026-02-24 10:41:00,warranty_claim,dead pixels,negative,high,human,resolved,0.489,2.65,2099,IN,phone,up
TKT-40202,2026-02-24 11:01:00,return_policy_question,bulk order returns,neutral,high,ai,resolved,0.99,2.17,2230,IN,chat,
TKT-40255,2026-02-24 11:14:00,account_management,account deletion,neutral,medium,ai,resolved,0.788,1.79,921,IN,chat,
TKT-40205,2026-02-24 11:19:00,order_tracking,delayed shipment,neutral,low,ai,resolved,0.631,0.94,3403,EU,email,up
TKT-40218,2026-02-24 11:22:00,order_tracking,delayed shipment,negative,high,ai,resolved,0.873,2.47,1475,IN,email,
TKT-40208,2026-02-24 11:37:00,technical_support,audio fault,negative,medium,ai,resolved,0.743,1.46,2354,IN,chat,down
TKT-40262,2026-02-24 12:01:00,product_information,compatibility,neutral,medium,ai,resolved,0.832,1.45,3282,IN,chat,
TKT-40219,2026-02-24 12:07:00,warranty_claim,third party brand routing,negative,medium,human,resolved,0.243,0.87,1079,IN,chat,
TKT-40246,2026-02-24 12:20:00,warranty_claim,screen fault,neutral,medium,human,resolved,0.305,0.42,1611,IN,phone,
TKT-40232,2026-02-24 12:25:00,warranty_claim,keyboard failure,negative,medium,human,resolved,0.684,2.16,4100,EU,email,
TKT-40243,2026-02-24 12:26:00,order_tracking,delivery attempt failed,negative,low,human,resolved,0.218,3.22,1817,IN,chat,
